PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,
WS2M,2022,1.43,1.77,1.75,1.81,2.56,2.38,2.41,2.27,1.92,1.52,1.15,1.32,1.86,
WD10M,1981,23.5,352.44,316.38,337.38,329.19,159.31,222.94,221.44,176.38,12.31,24.5,24.81,338.62,
WD10M,1982,18.69,346.69,341.94,299.69,319.12,240.31,229.62,227.94,247.94,44.5,25,1.62,319.06,
WD10M,1983,9.06,353.94,334.06,321.44,314.06,221.75,192.31,139.31,158.12,359,13.06,21.31,349.94,
WD10M,1984,26.44,358.25,336.69,311.62,332.06,311.12,228.88,240.94,280.12,19.44,31,20.75,334.12,
WD10M,1985,46.88,342.12,333.62,332.12,348.38,300,225.12,269.75,188.94,39.06,13.56,7.62,332.12,
WD10M,1986,10.5,353,314,305.81,333.38,324.5,237.94,42.06,341.19,43.88,36.62,48.94,332,
WD10M,1987,25.12,18.5,333.06,321.06,327.19,270.31,263.38,214.06,284.56,42.5,28.75,34.12,328.31,
WD10M,1988,6.06,350.38,304.62,270,2.62,320.06,191.44,230.25,142,21.5,52.62,54.12,348.25,
WD10M,1989,1.5,340.06,345.31,333,6.44,252.69,213.38,122.5,222.38,23.06,24.81,48.31,349.56,
WD10M,1990,350.88,349.38,354.62,319.62,197.38,243.19,254.31,150.31,199.12,29.81,31.94,50.94,335,
WD10M,1991,8.38,359.62,336.38,329.75,335.06,203.12,222.06,248.69,321.94,29.12,46,67.5,336.38,
WD10M,1992,6.19,354.5,335.69,316.81,327.88,225.62,239.06,144.5,25.69,23.75,73.5,14.12,348.06,
WD10M,1993,348.06,344.06,335.94,330.5,335.81,240.88,240.94,261.56,198.38,28.06,22.12,24.88,327.44,
WD10M,1994,10.88,6.88,341.25,328,326.81,280.38,221.31,109.69,342.81,55.88,67.25,32.38,353.12,
WD10M,1995,30.31,355.75,338.19,325.31,357.94,268.12,237.81,225.5,350.88,54.88,36.38,23.88,338.56,
WD10M,1996,10.81,0.06,338.5,316.88,332.25,195.88,227.88,192.12,290.38,56,40.75,24.75,348.44,
WD10M,1997,10.56,341.38,342.06,323.31,324.56,287.12,285.94,273.56,310.88,30.31,69,33.81,326.62,
WD10M,1998,352.56,0.38,336.5,277,332.12,294.5,233.88,230.31,128.94,38.19,44.38,25.44,327.06,
WD10M,1999,29.62,22.81,344.25,354.69,336.19,256.38,252.75,315.75,167.62,33.88,19,70.62,350.06,
WD10M,2000,353.12,10.25,323.31,334.56,303.62,210.38,237.5,205.62,304.12,41.19,47.88,13.12,335.94,
WD10M,2001,352.06,353.62,9.31,323.81,324.81,288.81,274,358.31,334.94,63.12,69.69,24.44,341.88,
WD10M,2002,164.62,357.81,345.12,324.44,331.12,256.88,277.38,67.5,2.5,35.62,25.69,6.25,338.06,
WD10M,2003,8.75,6.88,340.94,334.88,338.62,281,288.56,295.12,261.31,44.88,11.75,32.06,347.31,
WD10M,2004,33.19,355.5,344.56,281.44,310.38,222.12,229.88,260.56,340.19,40.75,17.31,26.88,327.38,
WD10M,2005,30.5,313.19,325.38,315.31,322.81,295.75,205.31,284.38,119.06,40.12,9.31,25.31,334.56,
WD10M,2006,0.12,350,342.12,330.19,241.88,201.69,240.38,352.12,356.81,348.88,50.25,14.81,336.88,
WD10M,2007,13.5,8.75,351.62,337,354.56,289.56,237.62,270.31,11.31,20,42.5,13.5,346.38,
WD10M,2008,7.31,351.38,345.12,350.25,335.81,272.06,238.94,236.75,15.5,20.25,51.75,31.88,339.75,
WD10M,2009,6.62,352.88,342.88,338.94,12.5,328.62,235.69,244.44,7.44,16.12,51.31,0.56,347.19,
WD10M,2010,16.38,341.94,332,320.94,247.19,267.75,155.56,169.25,100.75,36.25,50.81,15.88,350.38,
WD10M,2011,352.44,357.06,338.94,252.56,327.44,250.06,197.88,194.56,312.81,4.69,21.56,53.25,320.94,
WD10M,2012,1.94,338.94,338.25,309.75,347.25,281.94,235.69,181.31,16.12,30.94,29.31,16.5,331.5,
WD10M,2013,20.75,30.06,346.06,300.88,348.81,192.31,192,212.94,21.56,75.25,12.5,6.81,356.19,
WD10M,2014,22.5,352.06,323.44,300.31,298.62,285.81,270.38,263.38,302.56,42.94,355.19,21,325.12,
WD10M,2015,18.69,351.56,337.12,275.81,313.25,233.88,272,256.25,330.75,1.25,45.12,19.56,316.31,
WD10M,2016,1.56,46.38,357,292.19,248.62,188.31,217.12,243.38,58.5,3.31,4.19,18.12,308.56,
WD10M,2017,33.31,1.94,329.69,314.56,267.69,249.69,237.62,204.06,298.25,7.56,50.94,35.19,313.56,
WD10M,2018,0.06,344.94,327.75,245.12,224.94,233.19,243.06,283.69,298.25,21.75,49.31,25.81,299.88,
WD10M,2019,356,305.56,316.69,317.94,317.06,275.88,230.94,243.31,175.56,24.12,24.25,42.19,304,
WD10M,2020,350.19,355.19,266.81,283.06,293.94,231.69,223.06,252.5,241.88,47.62,35.81,2.81,295.31,
WD10M,2021,17.62,347.62,315.19,343.69,283.25,263.19,239.38,226.62,149.19,346.38,26,28.38,301.56,
WD10M,2022,1.19,318.5,341.75,311.06,270.56,249.56,129.25,224.75,171.31,57.62,14.81,12.81,329.06,
WS10M,1981,2.42,3.13,3.12,3.64,3.26,4.52,3.88,3.23,3,2.29,2.3,2.58,3.11,
WS10M,1982,2.46,3.03,3.33,3.3,2.92,3.34,3.68,3.66,2.59,1.88,2.15,2.63,2.91,
WS10M,1983,2.98,3.26,3.9,3.95,3.53,3.45,3.34,3.68,2.52,2.53,2.6,2.18,3.16,
WS10M,1984,2.52,3.28,3.62,3.1,4.12,4.05,2.99,3.94,3.09,2.45,2.25,2.82,3.19,
WS10M,1985,2.52,3.32,3.84,3.81,3.34,3.81,3.38,3.19,2.73,2.92,2.18,2.44,3.12,
WS10M,1986,2.49,2.91,3.2,3.7,3.25,3.76,3.72,3.44,3.01,2.27,2.2,2.51,3.04,
WS10M,1987,2.73,2.63,3.43,3.84,3.04,3.54,4.05,3.02,3.52,2,2.65,2.59,3.09,
WS10M,1988,2.91,3.23,3.41,3.25,3.46,3.29,3.46,3.02,2.52,2.39,2.4,2.45,2.98,
WS10M,1989,3.28,3.77,3.61,3.84,3.84,3.82,3.62,3.46,2.58,2.1,1.84,2.3,3.17,
WS10M,1990,3.56,3.09,3.38,3.8,3.41,3.46,4.14,3.43,2.91,2.55,2.79,2.32,3.24,
WS10M,1991,2.82,2.93,3.27,3.75,3.66,3.98,4.04,3.62,2.68,2.22,2.11,2.39,3.12,
WS10M,1992,2.89,3.23,3.89,3.38,3.24,3.53,3.53,3.02,3.14,2.59,2.2,2.7,3.11,
WS10M,1993,3.3,2.98,3.44,3.23,3.52,3.45,3.12,3.27,3.12,1.88,1.98,2.01,2.95,
WS10M,1994,2.39,2.98,3.65,2.97,3.39,3.41,4,3.47,2.81,2.09,1.81,1.78,2.9,
WS10M,1995,2.57,2.91,2.91,3,3.46,3.43,3.3,3.29,3.05,2.31,2.58,2.13,2.91,
WS10M,1996,2.74,2.97,3.23,3.12,3.42,4.12,3.26,3.09,2.09,2.41,1.99,2.65,2.92,
WS10M,1997,2.55,3.62,3.51,2.92,3.33,3.62,3.91,4.39,2.53,1.77,1.92,2.42,3.04,
WS10M,1998,2.38,2.48,3.09,2.86,3.6,3.59,3.86,2.97,2.55,2.46,2.49,2.29,2.89,
WS10M,1999,2.49,2.71,3.62,3.67,3.42,3.88,3.53,3.48,2.51,2.78,2.18,1.75,3,
WS10M,2000,2.58,2.86,3.62,3.53,3.46,3.64,3.11,3.4,3.25,2.42,2.34,3.05,3.1,
WS10M,2001,3.21,3.48,2.96,3.02,3.69,4.45,5.06,3.18,2.66,2.55,2.02,1.95,3.19,
WS10M,2002,2.45,3.06,3.05,3.31,3.98,3.55,3.44,3.18,2.93,1.97,2.49,2.78,3.02,
WS10M,2003,3.11,2.97,3.23,3.21,3.67,3.72,3.04,3.56,3.02,2.84,1.95,2.18,3.05,
WS10M,2004,2.31,2.73,3.03,3.15,3.23,4.2,3.18,3.21,2.63,1.95,1.94,2.23,2.82,
WS10M,2005,2.62,2.95,2.78,3.16,3.36,3.66,3.68,3.11,3.34,2.31,2.44,2.37,2.98,
WS10M,2006,2.65,2.95,2.82,3.25,3.02,2.78,4.41,4.15,3.07,1.84,1.78,2.3,2.92,
WS10M,2007,2.62,3.08,3.5,3.05,3.35,4.14,3.8,3.21,2.94,2.12,1.95,2.42,3.02,
WS10M,2008,2.8,2.73,2.77,3.16,3.59,3.72,3.46,3.3,2.9,1.95,1.95,2.02,2.87,
WS10M,2009,2.61,3.14,3.2,3.82,3.41,3.03,3.63,3.09,3.02,2.56,1.98,1.93,2.95,
WS10M,2010,2.45,3.1,3.46,3.38,3.57,3.55,3.38,2.77,2.48,2.48,1.96,2.55,2.93,
WS10M,2011,2.84,2.81,3.27,2.73,2.95,4.38,3.17,3.11,3.11,1.95,2.08,2.01,2.87,
WS10M,2012,2.6,2.95,3.27,3.14,3.47,4.2,3.05,3.11,2.55,2.02,2.38,2.45,2.93,
WS10M,2013,2.67,2.99,3.23,3.02,3.89,3.94,3.28,2.83,2.36,2.98,2.11,2.2,2.96,
WS10M,2014,2.69,2.81,2.9,3,3.61,3.66,3.21,3.12,2.72,2.42,2.23,2.47,2.9,
WS10M,2015,2.76,2.69,3.12,2.91,3.35,3.43,3.56,3.45,2.47,1.76,1.61,2.27,2.78,
WS10M,2016,2.37,2.53,2.75,3.29,3.29,3.2,3.64,3.47,2.66,2.23,2.47,2.49,2.87,
WS10M,2017,2.59,2.82,3.52,3.38,3.09,3.09,3.84,3.14,2.02,1.98,1.94,2.03,2.79,
WS10M,2018,2.52,2.66,2.86,3.22,3.43,3.72,3.61,3.68,3.09,2.23,2.03,2.39,2.95,
WS10M,2019,2.46,2.82,3.03,3.12,3.39,3.39,3.7,3.16,3.38,2.23,2.17,2.27,2.93,
WS10M,2020,2.52,2.71,2.31,2.8,3.13,3.26,3.06,3.6,2.22,2.13,2.09,1.99,2.66,
WS10M,2021,2.23,2.18,2.49,2.59,3.59,3.27,3.68,3.12,3.21,2.19,2.01,2.48,2.76,
WS10M,2022,2.36,2.9,2.82,2.72,3.62,3.32,3.45,3.34,2.92,2.42,1.98,2.24,2.84,
WS2M_MAX,1981,4.73,5.05,5.39,6.36,6.65,8.74,6.05,7.49,9.59,3.51,3.14,4.61,9.59,
WS2M_MAX,1982,5.26,4.54,5.91,6.11,5.74,6.73,6.26,7.49,5.28,3.84,4,4.58,7.49,
WS2M_MAX,1983,5.09,5.18,6.45,6.64,6.53,6.66,6.4,8.76,5.77,4.36,3.31,4.48,8.76,
WS2M_MAX,1984,5.9,6.16,5.64,5.24,6.19,6.91,6.16,6.97,5.3,5.88,4.09,5.05,6.97,
WS2M_MAX,1985,4.37,5.62,6.55,6.29,6.18,7.41,7.3,6.88,5.07,6.43,3.66,4.01,7.41,
WS2M_MAX,1986,4.26,4.3,6.34,6.14,6.53,6.16,7.26,6.16,5.88,4.27,3.68,5.73,7.26,
WS2M_MAX,1987,4.38,4.38,5.6,8.2,4.91,5.72,8.02,5.31,7.71,4.63,4.02,4.26,8.2,
WS2M_MAX,1988,4.7,5.22,5.96,5.94,6.99,7.77,6.93,7.29,5.62,5.89,5.68,5.38,7.77,
WS2M_MAX,1989,5.33,6.17,6.15,6.05,7.28,6.8,8.23,6.49,4.92,3.79,3.48,3.92,8.23,
WS2M_MAX,1990,5.91,4.91,6.16,5.95,8.02,6.31,5.81,6.24,5.82,4.65,4.77,3.47,8.02,
WS2M_MAX,1991,5.51,4.82,6.16,7.23,5.91,6.02,8.94,5.87,5,3.7,2.84,4.13,8.94,
WS2M_MAX,1992,4.64,5.28,6.16,5.55,6.45,7.64,8.49,5.43,6.55,4.95,3.28,4.05,8.49,
WS2M_MAX,1993,5.84,5.4,6.19,6.23,6.88,6.3,6.48,5.8,5.26,2.8,3.06,3.07,6.88,
WS2M_MAX,1994,5.3,5.59,6.73,6.23,5.93,6.07,6.84,6.19,6.09,4.71,2.71,3.23,6.84,
WS2M_MAX,1995,5.95,4.38,6.02,5.09,7.9,6.25,6.46,5.14,5.8,4.34,6.43,4.23,7.9,
WS2M_MAX,1996,4.98,6.09,5.77,5.43,7.14,6.05,9.44,5.68,4.36,5.12,3.25,4.06,9.44,
WS2M_MAX,1997,4.18,5.36,6.66,5.8,7.52,6.77,10.58,6.55,6.44,3,3.99,6.53,10.58,
WS2M_MAX,1998,4.05,4.16,5.69,5.03,7.45,7.41,6.72,4.73,5.25,4.7,5.27,3.2,7.45,
WS2M_MAX,1999,4.36,4.35,6.45,5.29,6.23,7.88,6.09,7.72,4.99,5.36,3.44,2.81,7.88,
WS2M_MAX,2000,4.18,6,6.07,6.21,6.7,9.81,5.35,6.93,6.45,4.71,4.09,4.42,9.81,
WS2M_MAX,2001,5.13,5.45,4.39,5.12,7.26,7.74,7.52,4.91,6.34,5,4.12,3.09,7.74,
WS2M_MAX,2002,4.84,5.69,4.71,6.25,7.36,6.03,5.71,6.98,5.73,3.86,4.55,4.93,7.36,
WS2M_MAX,2003,4.81,5.22,5.32,5.96,6.96,6.79,10.33,7.02,6.91,5.55,2.82,4.2,10.33,
WS2M_MAX,2004,4.11,4.09,5.2,6.23,7.16,9.49,5.92,6.23,5.28,6.26,3.5,3.45,9.49,
WS2M_MAX,2005,4.52,5.71,4.87,5.55,5.42,8.34,6.55,5.83,5.48,3.75,4.44,3.9,8.34,
WS2M_MAX,2006,4.11,4.52,4.82,5.77,6.57,5.32,8.25,8.12,7.14,3.07,2.77,4.11,8.25,
WS2M_MAX,2007,3.98,5.73,5.39,5.2,5.81,7.65,7.02,8.34,8.27,3.56,4.12,4.79,8.34,
WS2M_MAX,2008,4.08,4.5,5.01,5.28,7.38,6.61,6.17,5.24,8.15,4,2.89,2.96,8.15,
WS2M_MAX,2009,3.69,5.42,5.03,6.23,6.98,6.3,6.29,5.54,6,5.83,4.01,3.86,6.98,
WS2M_MAX,2010,4.04,5.46,5.52,6.87,6.71,6.23,6.75,6.08,6.11,5.05,3.29,3.58,6.87,
WS2M_MAX,2011,4.83,5.11,6.02,5.81,5.79,9.06,6.11,4.9,5.34,3.8,2.93,2.62,9.06,
WS2M_MAX,2012,4.23,5.63,5.24,5.45,5.71,5.97,5.8,5.37,5.54,2.8,3.45,4.58,5.97,
WS2M_MAX,2013,4.66,6.45,5.3,5.51,6.95,7.23,6.9,5.84,4.89,8.27,3.74,3.41,8.27,
WS2M_MAX,2014,5.57,5.66,4.84,5.52,5.9,6.91,6.23,5.93,5.4,7.59,3.48,3.52,7.59,
WS2M_MAX,2015,5.42,4.12,5.12,4.9,6.08,7.1,7.92,6.63,5.28,2.7,2.78,3.98,7.92,
WS2M_MAX,2016,4.2,4.05,5.61,5.81,6.62,5.66,6.16,6.2,4.71,3.98,3.9,3.38,6.62,
WS2M_MAX,2017,4.34,4.52,5.9,6.5,6.3,5.08,6.63,4.67,4.63,4.59,2.79,3.74,6.63,
WS2M_MAX,2018,5.26,5.47,4.96,5.54,5.59,6.9,5.94,6.12,7.48,4.42,3.48,5.11,7.48,
WS2M_MAX,2019,4.09,5.3,5.61,5.26,5.96,5.86,7.21,5.38,5.38,5.82,3.95,4.66,7.21,
WS2M_MAX,2020,4.51,4.72,3.84,5.29,8.02,6.27,5.52,6.07,4.75,3.73,3.19,3.45,8.02,
WS2M_MAX,2021,3.73,3.59,6.14,4.42,8.99,5.52,5.77,5.84,5.95,4.13,2.99,3.95,8.99,
WS2M_MAX,2022,3.66,5.69,4.56,5.19,6.42,5.91,6.02,6.38,6.5,4.3,2.74,3.35,6.5,
WS2M_MIN,1981,0.05,0.35,0.2,0.16,0.09,0.41,0.23,0.38,0.18,0.17,0.06,0.07,0.05,
WS2M_MIN,1982,0.06,0.35,0.03,0.17,0.01,0.04,0.41,0.25,0.06,0.09,0.02,0.06,0.01,
WS2M_MIN,1983,0.16,0.3,0.23,0.12,0.1,0.05,0.2,0.09,0.09,0.02,0.14,0.02,0.02,
WS2M_MIN,1984,0.09,0.18,0.12,0.11,0.27,0.08,0.1,0.36,0.34,0.02,0.09,0.06,0.02,
WS2M_MIN,1985,0.05,0.18,0.41,0.19,0.23,0.38,0.1,0.02,0.18,0.22,0.05,0.24,0.02,
WS2M_MIN,1986,0.05,0.17,0.16,0.31,0.07,0.09,0.17,0.22,0.08,0.07,0.1,0.09,0.05,
WS2M_MIN,1987,0.03,0.13,0.11,0.18,0.05,0.15,0.2,0.15,0.12,0.05,0.23,0.05,0.03,
WS2M_MIN,1988,0.12,0.21,0.06,0.24,0.11,0.04,0.07,0.2,0.07,0.05,0.05,0.05,0.04,
WS2M_MIN,1989,0.2,0.13,0.09,0.17,0.13,0.2,0.16,0.11,0.05,0.09,0.02,0.12,0.02,
WS2M_MIN,1990,0.14,0.08,0.08,0.19,0.16,0.16,0.34,0.03,0.05,0.16,0.47,0.08,0.03,
WS2M_MIN,1991,0.05,0.09,0.15,0.44,0.24,0.09,0.1,0.12,0.05,0.23,0.09,0.09,0.05,
WS2M_MIN,1992,0.12,0.29,0.17,0.2,0.15,0.12,0.37,0.12,0.3,0.39,0.09,0.1,0.09,
WS2M_MIN,1993,0.23,0.12,0.23,0.17,0.21,0.13,0.09,0.03,0.16,0.16,0.04,0.05,0.03,
WS2M_MIN,1994,0.02,0.15,0.21,0.14,0.21,0.19,0.09,0.12,0.1,0.07,0.03,0.06,0.02,
WS2M_MIN,1995,0.12,0.02,0.2,0.09,0.2,0.08,0.17,0.09,0.23,0.09,0.04,0.02,0.02,
WS2M_MIN,1996,0.07,0.23,0.16,0.05,0.29,0.24,0.02,0.16,0.11,0.06,0.12,0.36,0.02,
WS2M_MIN,1997,0.09,0.2,0.34,0.1,0.3,0.4,0.09,0.09,0.08,0.1,0.05,0.08,0.05,
WS2M_MIN,1998,0.05,0.14,0.06,0.17,0.26,0.03,0.1,0.1,0.09,0.12,0.13,0.05,0.03,
WS2M_MIN,1999,0.02,0.05,0.21,0.4,0.25,0.16,0.17,0.03,0.1,0.03,0.09,0.02,0.02,
WS2M_MIN,2000,0.17,0.16,0.25,0.23,0.03,0.16,0.24,0.41,0.15,0.05,0.22,0.15,0.03,
WS2M_MIN,2001,0.04,0.02,0.1,0.03,0.19,0.16,0.07,0.18,0.05,0.14,0.11,0.06,0.02,
WS2M_MIN,2002,0.09,0.08,0.13,0.16,0.22,0.18,0.09,0.12,0.07,0.03,0.11,0.36,0.03,
WS2M_MIN,2003,0.16,0.2,0.05,0.24,0.19,0.12,0.29,0.27,0.09,0.15,0.12,0.02,0.02,
WS2M_MIN,2004,0.04,0.09,0.09,0.09,0.19,0.12,0.17,0.16,0.09,0.12,0.09,0.13,0.04,
WS2M_MIN,2005,0.09,0.11,0.06,0.02,0.41,0.11,0.11,0.24,0.32,0.22,0.16,0.2,0.02,
WS2M_MIN,2006,0.18,0.2,0.12,0.28,0.2,0.17,0.48,0.1,0.08,0.11,0.02,0.07,0.02,
WS2M_MIN,2007,0.15,0.09,0.15,0.07,0.15,0.08,0.27,0.07,0.04,0.11,0.04,0.04,0.04,
WS2M_MIN,2008,0.03,0.09,0.11,0.05,0.08,0.04,0.45,0.09,0.13,0.06,0.04,0.08,0.03,
WS2M_MIN,2009,0.11,0.14,0.04,0.07,0.08,0.17,0.13,0.08,0.14,0.18,0.05,0.01,0.01,
WS2M_MIN,2010,0.16,0.09,0.12,0.18,0.1,0.18,0.3,0.2,0.05,0.05,0.06,0.12,0.05,
WS2M_MIN,2011,0.07,0,0.14,0.08,0.15,0.18,0.24,0.25,0.05,0.08,0.09,0.1,0,
WS2M_MIN,2012,0.07,0.08,0.26,0.19,0.22,0.28,0.05,0.21,0.12,0.18,0.05,0.15,0.05,
WS2M_MIN,2013,0.09,0.17,0.33,0.17,0.17,0.23,0.12,0.06,0.05,0.16,0.09,0.07,0.05,
WS2M_MIN,2014,0.02,0.19,0.05,0.15,0.16,0.19,0.02,0.14,0.15,0.05,0.09,0.13,0.02,
WS2M_MIN,2015,0.08,0.16,0.15,0.04,0.15,0.15,0.2,0.12,0.04,0.16,0.09,0.02,0.02,
WS2M_MIN,2016,0.09,0.12,0.12,0.17,0.14,0.03,0.42,0.08,0.24,0.08,0.08,0.12,0.03,
WS2M_MIN,2017,0.17,0.15,0.05,0.27,0.19,0.13,0.28,0.27,0.09,0.09,0.09,0.05,0.05,
WS2M_MIN,2018,0.18,0.16,0.2,0.22,0.22,0.08,0.2,0.16,0.3,0.23,0.07,0.12,0.07,
WS2M_MIN,2019,0.07,0.08,0.1,0.16,0.16,0.2,0.16,0.12,0.19,0.05,0.23,0.1,0.05,
WS2M_MIN,2020,0.04,0.14,0.09,0.06,0.11,0.12,0.11,0.2,0.21,0.21,0.05,0.1,0.04,
WS2M_MIN,2021,0.08,0.13,0.11,0.09,0.05,0.16,0.58,0.12,0.07,0.18,0.05,0.09,0.05,
WS2M_MIN,2022,0.12,0.12,0.05,0.15,0.16,0.04,0.2,0.16,0.16,0.07,0.26,0.09,0.04,
WS10M_MAX,1981,6.59,6.99,7.09,8.44,8.7,12.28,8.31,10.66,14.23,4.98,4.37,6.5,14.23,
WS10M_MAX,1982,7.24,6.2,7.9,8.3,7.64,8.96,8.81,10.98,7.52,5.44,5.73,6.44,10.98,
WS10M_MAX,1983,6.91,7.11,8.81,9.12,8.67,8.96,8.88,12.66,8.21,6.2,4.62,6.23,12.66,
WS10M_MAX,1984,8.36,8.65,7.8,6.93,8.13,9.42,8.83,9.93,7.84,8.52,5.7,7.14,9.93,
WS10M_MAX,1985,5.95,7.62,9.04,8.32,8.12,10.02,9.92,9.7,7.27,9.45,5.1,5.5,10.02,
WS10M_MAX,1986,5.84,6,8.76,8.33,8.65,8.05,10.39,8.69,8.48,6.07,5.17,8.09,10.39,
WS10M_MAX,1987,5.88,5.8,7.77,11.15,6.51,7.97,11.06,7.45,11.27,6.62,5.82,6.19,11.27,
WS10M_MAX,1988,6.4,6.98,8.04,8.4,9.24,10.66,9.66,10.52,8.15,8.55,8.11,7.66,10.66,
WS10M_MAX,1989,7.37,8.53,8.69,8.18,9.79,9.33,11.5,9.2,6.93,5.38,4.88,5.6,11.5,
WS10M_MAX,1990,8.23,7.05,8.45,7.9,10.91,8.55,8.05,8.89,8.28,6.84,6.89,4.98,10.91,
WS10M_MAX,1991,7.77,6.38,8.33,9.59,7.74,8.04,12.84,8.35,7.12,5.28,3.99,5.75,12.84,
WS10M_MAX,1992,6.44,7.23,8.38,7.25,8.51,10.43,12.19,7.91,9.52,7.09,4.46,5.63,12.19,
WS10M_MAX,1993,8.06,7.28,8.29,8.18,9.09,8.43,8.9,8.11,7.45,3.88,4.27,4.27,9.09,
WS10M_MAX,1994,7.34,7.62,9.09,8.72,7.95,8.13,9.53,8.8,8.77,6.77,3.77,4.45,9.53,
WS10M_MAX,1995,8.59,6.23,8.36,6.65,10.73,8.3,9.22,7.27,8.3,6.15,9.59,6.34,10.73,
WS10M_MAX,1996,6.91,8.34,7.84,7.09,9.6,8.33,13.51,8.14,6.16,7.4,4.62,5.62,13.51,
WS10M_MAX,1997,5.7,7.37,8.95,7.73,9.94,9.47,15.2,9.64,9.48,4.32,5.63,9.57,15.2,
WS10M_MAX,1998,5.62,6.06,8.02,6.74,9.95,9.91,9.29,6.62,7.8,6.83,7.74,4.45,9.95,
WS10M_MAX,1999,6.04,5.79,8.66,7.09,8.16,10.71,8.69,11.16,7.21,7.66,4.86,3.83,11.16,
WS10M_MAX,2000,5.88,8.31,8.13,8.3,8.85,13.62,7.36,9.91,9.49,6.67,5.62,6.12,13.62,
WS10M_MAX,2001,7.04,7.42,6.15,6.77,9.69,10.86,10.7,7.19,9.11,7.21,5.83,4.37,10.86,
WS10M_MAX,2002,6.66,7.77,6.33,8.37,9.9,8.16,7.8,9.96,8.47,5.57,6.52,6.85,9.96,
WS10M_MAX,2003,6.65,7.07,7.11,7.95,9.37,8.95,14.81,10.08,10.17,8.13,4.07,5.9,14.81,
WS10M_MAX,2004,5.73,5.47,6.91,8.35,9.64,13.08,8.17,9.04,7.58,9.07,4.92,4.73,13.08,
WS10M_MAX,2005,6.38,7.91,6.45,7.25,7.2,11.62,9.11,8.26,7.87,5.32,6.4,5.49,11.62,
WS10M_MAX,2006,5.65,6.01,6.88,7.74,8.78,7,11.32,11.53,10.41,4.34,3.87,5.68,11.53,
WS10M_MAX,2007,5.47,7.95,7.3,6.85,7.73,10.52,9.65,12.07,12.27,5.2,5.91,6.96,12.27,
WS10M_MAX,2008,5.55,6.09,6.61,6.88,10.03,9.05,8.59,7.55,11.99,5.62,4.12,4,11.99,
WS10M_MAX,2009,4.95,7.36,7.18,8.33,9.19,8.42,8.78,7.73,8.73,8.45,5.7,5.26,9.19,
WS10M_MAX,2010,5.58,7.3,7.39,9.26,8.97,8.23,9.27,8.45,8.83,7.34,4.62,4.9,9.27,
WS10M_MAX,2011,6.64,6.84,8.22,8.16,8.02,12.73,8.48,6.95,7.74,5.37,4.14,3.59,12.73,
WS10M_MAX,2012,6.01,7.79,7.07,7.16,7.48,8,8.24,7.59,7.98,3.92,4.84,6.54,8.24,
WS10M_MAX,2013,6.36,9.4,7.23,7.45,9.39,9.91,9.92,8.34,6.95,12.27,5.32,4.84,12.27,
WS10M_MAX,2014,7.87,7.77,6.55,7.27,7.91,9.41,8.66,8.4,7.76,11.32,5.01,4.91,11.32,
WS10M_MAX,2015,7.69,5.41,7.01,6.57,7.98,9.7,11.25,9.32,7.52,3.76,3.91,5.48,11.25,
WS10M_MAX,2016,5.76,5.38,7.94,7.8,8.77,7.53,8.47,8.75,6.77,5.63,5.56,4.75,8.77,
WS10M_MAX,2017,6.01,6,7.92,8.71,8.31,7.07,9.3,6.6,6.65,6.62,3.86,5.25,9.3,
WS10M_MAX,2018,7.2,7.48,6.55,7.89,7.38,9.25,8.23,8.49,10.9,6.34,4.86,7.29,10.9,
WS10M_MAX,2019,5.55,7.12,7.52,6.94,8.3,7.73,10.24,7.49,7.69,8.43,5.59,6.58,10.24,
WS10M_MAX,2020,6.26,6.39,5.23,6.97,10.75,8.42,7.7,8.91,6.9,5.25,4.38,4.82,10.75,
WS10M_MAX,2021,5,4.77,8.31,5.8,12.43,7.41,8.14,8.26,8.71,5.89,4.16,5.55,12.43,
WS10M_MAX,2022,5.04,7.89,6.04,6.86,8.52,8,8.23,9.12,9.45,6.27,3.8,4.65,9.45,
WS10M_MIN,1981,0.06,0.45,0.37,0.32,0.06,0.53,0.41,0.78,0.24,0.35,0.08,0.11,0.06,
WS10M_MIN,1982,0.09,0.47,0.16,0.23,0.05,0.03,0.78,0.39,0.11,0.09,0.05,0.12,0.03,
WS10M_MIN,1983,0.2,0.47,0.17,0.06,0.12,0.05,0.3,0.11,0.09,0.04,0.2,0.06,0.04,
WS10M_MIN,1984,0.16,0.23,0.14,0.12,0.49,0.08,0.23,0.43,0.58,0.04,0.09,0.07,0.04,
WS10M_MIN,1985,0.02,0.25,0.5,0.32,0.31,0.66,0.13,0.09,0.26,0.25,0.06,0.29,0.02,
WS10M_MIN,1986,0.19,0.2,0.3,0.45,0.14,0.18,0.34,0.38,0.1,0.07,0.12,0.18,0.07,
WS10M_MIN,1987,0.15,0.37,0.13,0.27,0.07,0.17,0.28,0.17,0.16,0.08,0.27,0.06,0.06,
WS10M_MIN,1988,0.08,0.11,0.08,0.38,0.13,0.04,0.09,0.22,0.09,0.06,0.07,0.05,0.04,
WS10M_MIN,1989,0.38,0.15,0.12,0.2,0.11,0.22,0.23,0.14,0.09,0.14,0.05,0.15,0.05,
WS10M_MIN,1990,0.17,0.08,0.09,0.13,0.21,0.26,0.7,0.02,0.08,0.2,0.73,0.07,0.02,
