PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,
PS,2016,94.45,94.34,94.13,93.64,93.43,93.25,93.12,93.13,93.49,93.91,94.29,94.39,93.8,
PS,2017,94.45,94.36,93.96,93.62,93.44,93.13,93.11,93.27,93.61,93.87,94.26,94.44,93.79,
PS,2018,94.27,94.31,94.01,93.72,93.45,93.1,92.95,93.04,93.65,94.19,94.36,94.45,93.79,
PS,2019,94.52,94.36,94.13,93.77,93.5,93.19,93.06,93.11,93.56,94.14,94.33,94.53,93.85,
PS,2020,94.45,94.48,94.19,93.96,93.58,93.25,93.28,93.06,93.49,93.79,94.42,94.41,93.86,
PS,2021,94.3,94.3,94.05,93.84,93.52,93.24,93.13,93.36,93.43,93.9,94.21,94.47,93.81,
PS,2022,94.33,94.18,93.94,93.65,93.28,93.21,93.14,93.19,93.53,94.07,94.33,94.34,93.76,
QV2M,1981,6.9,5.98,7.26,5.68,9.83,13.12,19.1,19.17,18.13,12.08,8.97,6.84,11.11,
QV2M,1982,8.54,7.63,7.51,7.63,10.38,16.24,18.68,19.47,17.09,13.31,10.31,6.65,11.96,
QV2M,1983,5,5.55,3.54,6.71,9.09,13.12,18.74,19.41,18.74,13.61,7.57,6.47,10.62,
QV2M,1984,7.32,6.84,4.52,6.04,6.35,16.66,18.68,19.23,16.6,13.18,7.02,5.07,10.62,
QV2M,1985,7.2,3.6,3.36,5.43,8.12,13.37,18.37,18.98,17.82,13.73,9.09,7.26,10.56,
QV2M,1986,5.8,7.51,6.35,5.92,7.93,13.12,18.98,18.68,16.66,12.02,8.12,7.2,10.74,
QV2M,1987,5.55,5.55,5.31,5.07,8.91,14.22,18.62,19.04,18.25,13.67,10.31,6.16,10.93,
QV2M,1988,5.07,5.25,5.62,6.53,7.57,15.14,19.29,19.29,18.49,12.15,7.81,5.8,10.68,
QV2M,1989,3.3,2.81,4.82,3.48,7.69,15.81,18.68,19.04,18.37,12.7,7.39,5.25,10.01,
QV2M,1990,4.46,5.98,5.68,5.13,13.61,16.97,19.1,19.29,18.62,14.1,10.56,7.93,11.84,
QV2M,1991,6.04,5.55,5.13,5,6.23,16.3,18.8,19.53,17.82,12.57,8.24,7.02,10.74,
QV2M,1992,4.94,4.33,4.21,5.98,8.12,13.43,18.01,19.04,17.03,13.31,9.28,5.25,10.25,
QV2M,1993,4.58,3.42,4.94,5.86,7.57,15.99,19.41,18.92,18.07,14.16,9.34,5.74,10.68,
QV2M,1994,6.47,5.55,3.91,6.53,8.61,16.78,19.71,19.53,17.09,13.92,9.7,5.68,11.17,
QV2M,1995,5.74,5.86,7.81,5.68,9.46,13.79,18.68,19.23,18.13,14.04,9.22,7.57,11.29,
QV2M,1996,7.69,6.41,6.96,6.47,7.32,15.5,19.17,19.23,18.07,13.12,8.42,4.46,11.11,
QV2M,1997,4.64,3.48,4.21,7.45,7.75,14.34,19.47,19.1,17.64,13.37,12.21,9.7,11.17,
QV2M,1998,8.12,8.18,7.26,8.48,8.36,14.47,19.41,19.53,18.86,16.48,11.72,6.41,12.27,
QV2M,1999,5.37,6.59,3.42,2.69,9.52,14.95,18.86,19.23,18.62,15.01,9.16,7.08,10.93,
QV2M,2000,5.07,5.43,3.66,4.03,11.78,17.21,18.68,18.86,17.27,12.02,6.23,3.05,10.31,
QV2M,2001,2.99,3.36,5.43,6.53,10.5,17.58,19.41,19.9,17.82,14.83,10.74,5.74,11.29,
QV2M,2002,5.92,6.29,5.31,5.13,8.06,15.99,18.01,19.04,17.4,12.94,8.18,5.8,10.68,
QV2M,2003,4.33,7.39,6.16,5.86,6.23,13.92,19.35,19.65,19.29,15.32,9.83,7.81,11.29,
QV2M,2004,7.39,5.86,6.16,8.48,10.74,17.52,18.92,19.53,17.64,12.7,8.24,6.77,11.66,
QV2M,2005,6.1,7.32,7.63,5.86,7.32,12.51,19.17,19.17,18.25,14.47,7.75,6.16,10.99,
QV2M,2006,4.76,4.64,7.63,6.9,12.82,15.99,18.86,19.1,17.82,13.92,10.13,6.59,11.66,
